,Field,Type,Null,Key,Default,Extra
0,AboveGradeFinishedArea,"decimal(14,2)",YES,,,
1,AboveGradeFinishedAreaSource,varchar(24),YES,,,
2,AboveGradeFinishedAreaUnits,varchar(22),YES,,,
3,AccessCode,varchar(45),YES,,,
4,AccessibilityFeatures,varchar(170),YES,,,
5,ActivationDate,date,YES,,,
6,AdditionalParcelsDescription,text,YES,,,
7,AdditionalParcelsYN,tinyint(1),YES,,,
8,AnchorsCoTenants,text,YES,,,
9,Appliances,varchar(270),YES,,,
10,ArchitecturalStyle,varchar(70),YES,MUL,,
11,AssociationAmenities,varchar(200),YES,,,
12,AssociationFee,"decimal(14,2)",YES,,,
13,AssociationFee2,"decimal(14,2)",YES,,,
14,AssociationFee2Frequency,varchar(23),YES,,,
15,AssociationFeeFrequency,varchar(23),YES,,,
16,AssociationFeeIncludes,varchar(230),YES,,,
17,AssociationName,varchar(70),YES,,,
18,AssociationName2,varchar(70),YES,,,
19,AssociationPhone,varchar(36),YES,,,
20,AssociationPhone2,varchar(36),YES,,,
21,AssociationYN,tinyint(1),YES,,,
22,AttachedGarageYN,tinyint(1),YES,,,
23,AvailabilityDate,date,YES,,,
24,Basement,varchar(100),YES,,,
25,BasementYN,tinyint(1),YES,,,
26,BathroomsFull,int(11),YES,,,
27,BathroomsHalf,int(11),YES,,,
28,BathroomsOneQuarter,int(11),YES,,,
29,BathroomsPartial,int(11),YES,,,
30,BathroomsThreeQuarter,int(11),YES,,,
31,BathroomsTotalInteger,int(11),YES,MUL,,
32,BedroomsPossible,int(11),YES,,,
33,BedroomsTotal,int(11),YES,MUL,,
34,BelowGradeFinishedArea,"decimal(14,2)",YES,,,
35,BelowGradeFinishedAreaSource,varchar(24),YES,,,
36,BelowGradeFinishedAreaUnits,varchar(22),YES,,,
37,BodyType,varchar(20),YES,,,
38,BuilderModel,varchar(70),YES,,,
39,BuilderName,varchar(70),YES,,,
40,BuildingAreaSource,varchar(24),YES,,,
41,BuildingAreaTotal,"decimal(14,2)",YES,,,
42,BuildingAreaUnits,varchar(22),YES,,,
43,BuildingFeatures,varchar(70),YES,,,
44,BuildingName,varchar(70),YES,,,
45,BusinessName,text,YES,,,
46,BusinessType,varchar(290),YES,,,
47,BuyerAgencyCompensation,varchar(45),YES,,,
48,BuyerAgencyCompensationType,varchar(20),YES,,,
49,BuyerAgentAOR,varchar(59),YES,,,
50,BuyerAgentDesignation,varchar(54),YES,,,
51,BuyerAgentDirectPhone,varchar(36),YES,,,
52,BuyerAgentEmail,varchar(100),YES,,,
53,BuyerAgentFax,varchar(36),YES,,,
54,BuyerAgentFirstName,varchar(70),YES,,,
55,BuyerAgentFullName,varchar(170),YES,,,
56,BuyerAgentHomePhone,varchar(36),YES,,,
57,BuyerAgentKey,varchar(275),YES,,,
58,BuyerAgentKeyNumeric,int(11),YES,,,
59,BuyerAgentLastName,varchar(70),YES,,,
60,BuyerAgentMiddleName,varchar(70),YES,,,
61,BuyerAgentMlsId,varchar(45),YES,,,
62,BuyerAgentMobilePhone,varchar(36),YES,,,
63,BuyerAgentNamePrefix,varchar(30),YES,,,
64,BuyerAgentNameSuffix,varchar(30),YES,,,
65,BuyerAgentOfficePhone,varchar(36),YES,,,
66,BuyerAgentOfficePhoneExt,varchar(30),YES,,,
67,BuyerAgentPager,varchar(36),YES,,,
68,BuyerAgentPreferredPhone,varchar(36),YES,,,
69,BuyerAgentPreferredPhoneExt,varchar(30),YES,,,
70,BuyerAgentStateLicense,varchar(70),YES,,,
71,BuyerAgentTollFreePhone,varchar(36),YES,,,
72,BuyerAgentURL,text,YES,,,
73,BuyerAgentVoiceMail,varchar(36),YES,,,
74,BuyerAgentVoiceMailExt,varchar(30),YES,,,
75,BuyerFinancing,varchar(34),YES,,,
76,BuyerOfficeAOR,varchar(59),YES,,,
77,BuyerOfficeEmail,varchar(100),YES,,,
78,BuyerOfficeFax,varchar(36),YES,,,
79,BuyerOfficeKey,varchar(275),YES,,,
80,BuyerOfficeKeyNumeric,int(11),YES,,,
81,BuyerOfficeMlsId,varchar(45),YES,,,
82,BuyerOfficeName,text,YES,,,
83,BuyerOfficePhone,varchar(36),YES,,,
84,BuyerOfficePhoneExt,varchar(30),YES,,,
85,BuyerOfficeURL,text,YES,,,
86,BuyerTeamKey,varchar(275),YES,,,
87,BuyerTeamKeyNumeric,int(11),YES,,,
88,BuyerTeamName,varchar(70),YES,,,
89,CLIP,bigint(20),YES,,,
90,CableTvExpense,"decimal(14,2)",YES,,,
91,CancellationDate,date,YES,,,
92,CapRate,"decimal(5,2)",YES,,,
93,CarportSpaces,"decimal(14,2)",YES,,,
94,CarportYN,tinyint(1),YES,,,
95,CarrierRoute,varchar(29),YES,,,
96,City,varchar(70),YES,MUL,,
97,CityRegion,varchar(170),YES,,,
98,CloseDate,date,YES,,,
99,ClosePrice,"decimal(14,2)",YES,,,
100,CoBuyerAgentAOR,varchar(59),YES,,,
101,CoBuyerAgentDesignation,varchar(54),YES,,,
102,CoBuyerAgentDirectPhone,varchar(36),YES,,,
103,CoBuyerAgentEmail,varchar(100),YES,,,
104,CoBuyerAgentFax,varchar(36),YES,,,
105,CoBuyerAgentFirstName,varchar(70),YES,,,
106,CoBuyerAgentFullName,varchar(170),YES,,,
107,CoBuyerAgentHomePhone,varchar(36),YES,,,
108,CoBuyerAgentKey,varchar(275),YES,,,
109,CoBuyerAgentKeyNumeric,int(11),YES,,,
110,CoBuyerAgentLastName,varchar(70),YES,,,
111,CoBuyerAgentMiddleName,varchar(70),YES,,,
112,CoBuyerAgentMlsId,varchar(45),YES,,,
113,CoBuyerAgentMobilePhone,varchar(36),YES,,,
114,CoBuyerAgentNamePrefix,varchar(30),YES,,,
115,CoBuyerAgentNameSuffix,varchar(30),YES,,,
116,CoBuyerAgentOfficePhone,varchar(36),YES,,,
117,CoBuyerAgentOfficePhoneExt,varchar(30),YES,,,
118,CoBuyerAgentPager,varchar(36),YES,,,
119,CoBuyerAgentPreferredPhone,varchar(36),YES,,,
120,CoBuyerAgentPreferredPhoneExt,varchar(30),YES,,,
121,CoBuyerAgentStateLicense,varchar(70),YES,,,
122,CoBuyerAgentTollFreePhone,varchar(36),YES,,,
123,CoBuyerAgentURL,text,YES,,,
124,CoBuyerAgentVoiceMail,varchar(36),YES,,,
125,CoBuyerAgentVoiceMailExt,varchar(30),YES,,,
126,CoBuyerOfficeAOR,varchar(59),YES,,,
127,CoBuyerOfficeEmail,varchar(100),YES,,,
128,CoBuyerOfficeFax,varchar(36),YES,,,
129,CoBuyerOfficeKey,varchar(275),YES,,,
130,CoBuyerOfficeKeyNumeric,int(11),YES,,,
131,CoBuyerOfficeMlsId,varchar(45),YES,,,
132,CoBuyerOfficeName,text,YES,,,
