,Field,Type,Null,Key,Default,Extra
0,AboveGradeFinishedArea,"decimal(13,2)",YES,,,
1,AboveGradeFinishedAreaSource,varchar(70),YES,,,
2,AboveGradeFinishedAreaUnits,varchar(45),YES,,,
3,AccessibilityFeatures,text,YES,,,
4,AdditionalParcelsDescription,text,YES,,,
5,AdditionalParcelsYN,tinyint(1),YES,,,
6,AnchorsCoTenants,text,YES,,,
7,Appliances,text,YES,,,
8,ArchitecturalStyle,varchar(200),YES,MUL,,
9,AssociationAmenities,text,YES,,,
10,AssociationFee,"decimal(13,2)",YES,,,
11,AssociationFee2,"decimal(13,2)",YES,,,
12,AssociationFee2Frequency,varchar(45),YES,,,
13,AssociationFeeFrequency,varchar(45),YES,,,
14,AssociationFeeIncludes,text,YES,,,
15,AssociationName,varchar(70),YES,,,
16,AssociationName2,varchar(70),YES,,,
17,AssociationPhone,varchar(36),YES,,,
18,AssociationPhone2,varchar(36),YES,,,
19,AssociationYN,tinyint(1),YES,,,
20,AttachedGarageYN,tinyint(1),YES,,,
21,AvailabilityDate,date,YES,,,
22,Basement,text,YES,,,
23,BasementYN,tinyint(1),YES,,,
24,BathroomsFull,int(11),YES,,,
25,BathroomsHalf,int(11),YES,,,
26,BathroomsThreeQuarter,int(11),YES,,,
27,BathroomsTotalInteger,int(11),YES,MUL,,
28,BedroomsPossible,int(11),YES,,,
29,BedroomsTotal,int(11),YES,MUL,,
30,BelowGradeFinishedArea,"decimal(13,2)",YES,,,
31,BelowGradeFinishedAreaSource,varchar(70),YES,,,
32,BelowGradeFinishedAreaUnits,varchar(45),YES,,,
33,BodyType,text,YES,,,
34,BuilderModel,varchar(70),YES,,,
35,BuilderName,varchar(70),YES,,,
36,BuildingAreaSource,varchar(70),YES,,,
37,BuildingAreaTotal,"decimal(13,2)",YES,,,
38,BuildingAreaUnits,varchar(45),YES,,,
39,BuildingFeatures,text,YES,,,
40,BuildingName,varchar(70),YES,,,
41,BusinessName,text,YES,,,
42,BusinessType,text,YES,,,
43,BuyerAgencyCompensation,varchar(45),YES,,,
44,BuyerAgencyCompensationType,varchar(45),YES,,,
45,BuyerAgentAOR,varchar(70),YES,,,
46,BuyerAgentEmail,varchar(100),YES,,,
47,BuyerAgentFax,varchar(36),YES,,,
48,BuyerAgentFirstName,varchar(70),YES,,,
49,BuyerAgentFullName,varchar(170),YES,,,
50,BuyerAgentKey,varchar(275),YES,,,
51,BuyerAgentKeyNumeric,bigint(20),YES,MUL,,
52,BuyerAgentLastName,varchar(70),YES,,,
53,BuyerAgentMiddleName,varchar(70),YES,,,
54,BuyerAgentMlsId,varchar(45),YES,,,
55,BuyerAgentMobilePhone,varchar(36),YES,,,
56,BuyerAgentOfficePhone,varchar(36),YES,,,
57,BuyerAgentOfficePhoneExt,varchar(30),YES,,,
58,BuyerAgentPager,varchar(36),YES,,,
59,BuyerAgentPreferredPhone,varchar(36),YES,,,
60,BuyerAgentPreferredPhoneExt,varchar(30),YES,,,
61,BuyerAgentStateLicense,varchar(70),YES,,,
62,BuyerAgentURL,text,YES,,,
63,BuyerFinancing,text,YES,,,
64,BuyerOfficeAOR,varchar(70),YES,,,
65,BuyerOfficeEmail,varchar(100),YES,,,
66,BuyerOfficeFax,varchar(36),YES,,,
67,BuyerOfficeKey,varchar(275),YES,,,
68,BuyerOfficeKeyNumeric,bigint(20),YES,,,
69,BuyerOfficeMlsId,varchar(45),YES,,,
70,BuyerOfficeName,text,YES,,,
71,BuyerOfficePhone,varchar(36),YES,,,
72,BuyerOfficePhoneExt,varchar(30),YES,,,
73,BuyerOfficeURL,text,YES,,,
74,BuyerTeamKey,varchar(275),YES,,,
75,BuyerTeamKeyNumeric,bigint(20),YES,,,
76,BuyerTeamName,varchar(70),YES,,,
77,CapRate,"decimal(7,2)",YES,,,
78,CarportSpaces,"decimal(13,2)",YES,,,
79,CarportYN,tinyint(1),YES,,,
80,City,varchar(70),YES,MUL,,
81,CloseDate,date,YES,,,
82,ClosePrice,"decimal(13,2)",YES,,,
83,CoBuyerAgentAOR,varchar(70),YES,,,
84,CoBuyerAgentDirectPhone,varchar(36),YES,,,
85,CoBuyerAgentEmail,varchar(100),YES,,,
86,CoBuyerAgentFax,varchar(36),YES,,,
87,CoBuyerAgentFirstName,varchar(70),YES,,,
88,CoBuyerAgentFullName,varchar(170),YES,,,
89,CoBuyerAgentKey,varchar(275),YES,,,
90,CoBuyerAgentKeyNumeric,bigint(20),YES,MUL,,
91,CoBuyerAgentLastName,varchar(70),YES,,,
92,CoBuyerAgentMiddleName,varchar(70),YES,,,
93,CoBuyerAgentMlsId,varchar(45),YES,,,
94,CoBuyerAgentMobilePhone,varchar(36),YES,,,
95,CoBuyerAgentNameSuffix,varchar(30),YES,,,
96,CoBuyerAgentOfficePhone,varchar(36),YES,,,
97,CoBuyerAgentOfficePhoneExt,varchar(30),YES,,,
98,CoBuyerAgentPager,varchar(36),YES,,,
99,CoBuyerAgentPreferredPhone,varchar(36),YES,,,
100,CoBuyerAgentPreferredPhoneExt,varchar(30),YES,,,
101,CoBuyerAgentStateLicense,varchar(70),YES,,,
102,CoBuyerAgentURL,text,YES,,,
103,CoBuyerOfficeAOR,varchar(70),YES,,,
104,CoBuyerOfficeEmail,varchar(100),YES,,,
105,CoBuyerOfficeFax,varchar(36),YES,,,
106,CoBuyerOfficeKey,varchar(275),YES,,,
107,CoBuyerOfficeKeyNumeric,bigint(20),YES,,,
108,CoBuyerOfficeMlsId,varchar(45),YES,,,
109,CoBuyerOfficeName,text,YES,,,
110,CoBuyerOfficePhone,varchar(36),YES,,,
111,CoBuyerOfficePhoneExt,varchar(30),YES,,,
112,CoBuyerOfficeURL,text,YES,,,
113,CoListAgentAOR,varchar(70),YES,,,
114,CoListAgentDirectPhone,varchar(36),YES,,,
115,CoListAgentEmail,varchar(100),YES,,,
116,CoListAgentFax,varchar(36),YES,,,
117,CoListAgentFirstName,varchar(70),YES,,,
118,CoListAgentFullName,varchar(170),YES,,,
119,CoListAgentKey,varchar(275),YES,MUL,,
120,CoListAgentKeyNumeric,bigint(20),YES,,,
121,CoListAgentLastName,varchar(70),YES,,,
122,CoListAgentMiddleName,varchar(70),YES,,,
123,CoListAgentMlsId,varchar(45),YES,,,
124,CoListAgentMobilePhone,varchar(36),YES,,,
125,CoListAgentNameSuffix,varchar(30),YES,,,
126,CoListAgentOfficePhone,varchar(36),YES,,,
127,CoListAgentOfficePhoneExt,varchar(30),YES,,,
128,CoListAgentPager,varchar(36),YES,,,
129,CoListAgentPreferredPhone,varchar(36),YES,,,
130,CoListAgentPreferredPhoneExt,varchar(30),YES,,,
131,CoListAgentStateLicense,varchar(70),YES,,,
132,CoListAgentURL,text,YES,,,
133,CoListOfficeAOR,varchar(70),YES,,,
134,CoListOfficeEmail,varchar(100),YES,,,
135,CoListOfficeFax,varchar(36),YES,,,
136,CoListOfficeKey,varchar(275),YES,,,
137,CoListOfficeKeyNumeric,bigint(20),YES,,,
138,CoListOfficeMlsId,varchar(45),YES,,,
139,CoListOfficeName,text,YES,,,
140,CoListOfficePhone,varchar(36),YES,,,
141,CoListOfficePhoneExt,varchar(30),YES,,,
142,CoListOfficeURL,text,YES,,,
143,CommonInterest,varchar(45),YES,,,
144,CommonWalls,text,YES,,,
145,CommunityFeatures,text,YES,,,
146,Concessions,varchar(45),YES,,,
147,ConcessionsAmount,bigint(20),YES,,,
148,ConstructionMaterials,text,YES,,,
149,Contingency,text,YES,,,
150,ContingentDate,date,YES,,,
151,ContractStatusChangeDate,date,YES,,,
152,Cooling,text,YES,,,
153,CoolingYN,tinyint(1),YES,,,
154,Country,varchar(22),YES,,,
155,CountyOrParish,varchar(70),YES,,,
156,CoveredSpaces,"decimal(13,2)",YES,,,
157,CrossStreet,varchar(70),YES,,,
158,CultivatedArea,"decimal(13,2)",YES,,,
159,CumulativeDaysOnMarket,int(11),YES,,,
160,CurrentFinancing,text,YES,,,
161,CurrentUse,text,YES,,,
162,DaysOnMarket,int(11),YES,,,
163,DevelopmentStatus,text,YES,,,
164,DirectionFaces,varchar(45),YES,,,
165,Directions,text,YES,,,
166,Disclosures,text,YES,,,
167,DistanceToSewerNumeric,bigint(20),YES,,,
168,DistanceToWaterNumeric,bigint(20),YES,,,
169,DocumentsAvailable,text,YES,,,
170,DocumentsChangeTimestamp,datetime,YES,,,
171,DocumentsCount,int(11),YES,,,
172,DualVariableCompensationYN,tinyint(1),YES,,,
173,Electric,text,YES,,,
174,ElectricExpense,"decimal(13,2)",YES,,,
175,ElectricOnPropertyYN,tinyint(1),YES,,,
176,ElementarySchool,varchar(70),YES,,,
177,ElementarySchoolDistrict,varchar(70),YES,,,
178,Elevation,int(11),YES,,,
179,ElevationUnits,varchar(30),YES,,,
180,EntryLevel,int(11),YES,,,
181,EntryLocation,varchar(70),YES,,,
182,Exclusions,text,YES,,,
183,ExistingLeaseType,varchar(95),YES,,,
184,ExteriorFeatures,text,YES,,,
185,Fencing,text,YES,,,
186,FinancialDataSource,varchar(95),YES,,,
187,FireplaceFeatures,text,YES,,,
188,FireplaceYN,tinyint(1),YES,,,
189,FireplacesTotal,int(11),YES,,,
190,Flooring,text,YES,,,
191,FoundationDetails,text,YES,,,
192,FrontageLength,text,YES,,,
193,FrontageType,text,YES,,,
194,FuelExpense,"decimal(13,2)",YES,,,
195,Furnished,varchar(70),YES,,,
196,GarageSpaces,"decimal(13,2)",YES,,,
197,GarageYN,tinyint(1),YES,,,
198,GreenBuildingVerificationType,text,YES,,,
199,GreenEnergyEfficient,text,YES,,,
200,GreenEnergyGeneration,text,YES,,,
201,GreenIndoorAirQuality,text,YES,,,
202,GreenSustainability,text,YES,,,
203,GreenWaterConservation,text,YES,,,
204,GrossIncome,"decimal(13,2)",YES,,,
205,GrossScheduledIncome,"decimal(13,2)",YES,,,
206,HabitableResidenceYN,tinyint(1),YES,,,
207,Heating,text,YES,,,
208,HeatingYN,tinyint(1),YES,,,
209,HighSchool,varchar(70),YES,,,
210,HighSchoolDistrict,varchar(70),YES,,,
211,HomeWarrantyYN,tinyint(1),YES,,,
212,HorseAmenities,text,YES,,,
213,Inclusions,text,YES,,,
214,InsuranceExpense,"decimal(13,2)",YES,,,
215,InteriorFeatures,text,YES,,,
216,InternetAddressDisplayYN,tinyint(1),YES,,,
217,InternetAutomatedValuationDisplayYN,tinyint(1),YES,,,
218,InternetConsumerCommentYN,tinyint(1),YES,,,
219,InternetEntireListingDisplayYN,tinyint(1),YES,,,
220,IrrigationSource,text,YES,,,
221,IrrigationWaterRightsYN,tinyint(1),YES,,,
222,LandLeaseAmount,"decimal(13,2)",YES,,,
223,LandLeaseAmountFrequency,varchar(45),YES,,,
224,LandLeaseYN,tinyint(1),YES,,,
225,Latitude,"decimal(11,8)",YES,MUL,,
226,LaundryFeatures,text,YES,,,
227,LeasableArea,"decimal(13,2)",YES,,,
228,LeasableAreaUnits,varchar(45),YES,,,
229,LeaseAmount,"decimal(13,2)",YES,,,
230,LeaseAmountFrequency,varchar(45),YES,,,
231,LeaseAssignableYN,tinyint(1),YES,,,
232,LeaseExpiration,date,YES,,,
233,LeaseTerm,varchar(45),YES,,,
234,Levels,text,YES,,,
235,License1,varchar(45),YES,,,
236,ListAOR,varchar(70),YES,,,
237,ListAgentAOR,varchar(70),YES,,,
238,ListAgentDirectPhone,varchar(36),YES,,,
239,ListAgentEmail,varchar(100),YES,,,
240,ListAgentFax,varchar(36),YES,,,
241,ListAgentFirstName,varchar(70),YES,,,
242,ListAgentFullName,varchar(170),YES,,,
243,ListAgentKey,varchar(275),YES,MUL,,
244,ListAgentKeyNumeric,bigint(20),YES,MUL,,
245,ListAgentLastName,varchar(70),YES,,,
246,ListAgentMiddleName,varchar(70),YES,,,
247,ListAgentMlsId,varchar(45),YES,,,
248,ListAgentMobilePhone,varchar(36),YES,,,
249,ListAgentOfficePhone,varchar(36),YES,,,
250,ListAgentOfficePhoneExt,varchar(30),YES,,,
251,ListAgentPager,varchar(36),YES,,,
252,ListAgentPreferredPhone,varchar(36),YES,,,
253,ListAgentPreferredPhoneExt,varchar(30),YES,,,
254,ListAgentStateLicense,varchar(70),YES,,,
255,ListAgentURL,text,YES,,,
256,ListOfficeAOR,varchar(70),YES,,,
257,ListOfficeEmail,varchar(100),YES,,,
258,ListOfficeFax,varchar(36),YES,,,
259,ListOfficeKey,varchar(275),YES,,,
260,ListOfficeKeyNumeric,bigint(20),YES,MUL,,
261,ListOfficeMlsId,varchar(45),YES,,,
262,ListOfficeName,varchar(200),YES,MUL,,
263,ListOfficePhone,varchar(36),YES,,,
264,ListOfficePhoneExt,varchar(30),YES,,,
265,ListOfficeURL,text,YES,,,
266,ListPrice,"decimal(13,2)",YES,MUL,,
267,ListTeamKey,varchar(275),YES,,,
268,ListTeamKeyNumeric,bigint(20),YES,,,
269,ListTeamName,varchar(70),YES,,,
270,ListingAgreement,varchar(70),YES,,,
271,ListingContractDate,date,YES,,,
272,ListingId,varchar(275),NO,PRI,,
273,ListingKey,varchar(275),NO,UNI,,
274,ListingKeyNumeric,bigint(20),YES,MUL,,
275,ListingService,varchar(45),YES,,,
276,ListingTerms,text,YES,,,
277,LivingArea,"decimal(13,2)",YES,,,
278,LivingAreaSource,varchar(70),YES,,,
279,LivingAreaUnits,varchar(45),YES,,,
280,LockBoxLocation,text,YES,,,
281,LockBoxSerialNumber,varchar(45),YES,,,
282,LockBoxType,text,YES,,,
283,Longitude,"decimal(11,8)",YES,MUL,,
284,LotFeatures,text,YES,,,
285,LotSizeAcres,"decimal(15,4)",YES,MUL,,
286,LotSizeArea,"decimal(15,4)",YES,,,
287,LotSizeDimensions,varchar(170),YES,,,
288,LotSizeSource,varchar(70),YES,,,
289,LotSizeSquareFeet,"decimal(13,2)",YES,,,
290,LotSizeUnits,varchar(45),YES,,,
291,MLSAreaMajor,varchar(70),YES,,,
292,MainLevelBathrooms,int(11),YES,,,
293,MainLevelBedrooms,int(11),YES,,,
294,MaintenanceExpense,"decimal(13,2)",YES,,,
295,MajorChangeTimestamp,datetime,YES,,,
296,MajorChangeType,text,YES,,,
297,Make,varchar(70),YES,,,
298,ManagerExpense,"decimal(13,2)",YES,,,
299,MapCoordinate,varchar(45),YES,,,
300,MapCoordinateSource,varchar(45),YES,,,
301,MiddleOrJuniorSchool,varchar(70),YES,,,
302,MiddleOrJuniorSchoolDistrict,varchar(70),YES,,,
303,MlgCanView,tinyint(1),YES,,,
304,MlsStatus,varchar(70),YES,MUL,,
305,MobileHomeRemainsYN,tinyint(1),YES,,,
306,Model,varchar(70),YES,,,
307,ModificationTimestamp,datetime,YES,,,
308,NetOperatingIncome,"decimal(13,2)",YES,,,
309,NewConstructionYN,tinyint(1),YES,,,
310,NumberOfBuildings,int(11),YES,,,
311,NumberOfFullTimeEmployees,int(11),YES,,,
312,NumberOfLots,int(11),YES,,,
313,NumberOfPartTimeEmployees,int(11),YES,,,
314,NumberOfUnitsInCommunity,int(11),YES,,,
315,NumberOfUnitsLeased,int(11),YES,,,
316,NumberOfUnitsTotal,int(11),YES,,,
317,NumberOfUnitsVacant,int(11),YES,,,
318,OccupantType,varchar(70),YES,,,
319,OffMarketDate,date,YES,,,
320,OffMarketTimestamp,datetime,YES,,,
321,OnMarketDate,date,YES,,,
322,OnMarketTimestamp,datetime,YES,,,
323,OpenParkingSpaces,"decimal(13,2)",YES,,,
324,OpenParkingYN,tinyint(1),YES,,,
325,OperatingExpense,"decimal(13,2)",YES,,,
326,OperatingExpenseIncludes,text,YES,,,
327,OriginalEntryTimestamp,datetime,YES,,,
328,OriginalListPrice,"decimal(13,2)",YES,,,
329,OriginatingSystemID,varchar(45),YES,,,
330,OriginatingSystemKey,varchar(275),YES,,,
331,OriginatingSystemModificationTimestamp,datetime,YES,,,
332,OriginatingSystemName,text,YES,,,
333,OtherEquipment,text,YES,,,
334,OtherExpense,"decimal(13,2)",YES,,,
335,OtherParking,text,YES,,,
336,OtherStructures,text,YES,,,
337,OwnerName,varchar(70),YES,,,
338,OwnerPays,text,YES,,,
339,OwnerPhone,varchar(36),YES,,,
340,Ownership,text,YES,,,
341,OwnershipType,varchar(70),YES,,,
342,ParcelNumber,varchar(70),YES,,,
343,ParkManagerName,varchar(70),YES,,,
344,ParkManagerPhone,varchar(36),YES,,,
345,ParkName,varchar(70),YES,,,
346,ParkingFeatures,text,YES,,,
347,ParkingTotal,"decimal(13,2)",YES,,,
348,PastureArea,"decimal(13,2)",YES,,,
349,PatioAndPorchFeatures,text,YES,,,
350,PendingTimestamp,datetime,YES,,,
351,PetsAllowed,text,YES,,,
352,PhotosChangeTimestamp,datetime,YES,,,
353,PhotosCount,int(11),YES,,,
354,PoolFeatures,text,YES,,,
355,PoolPrivateYN,tinyint(1),YES,,,
356,Possession,text,YES,,,
357,PossibleUse,text,YES,,,
358,PostalCode,varchar(30),YES,MUL,,
359,PostalCodePlus4,varchar(24),YES,,,
360,PowerProductionType,text,YES,,,
361,PreviousListPrice,"decimal(13,2)",YES,,,
362,PriceChangeTimestamp,datetime,YES,,,
363,PrivateRemarks,text,YES,,,
364,ProfessionalManagementExpense,"decimal(13,2)",YES,,,
365,PropertyAttachedYN,tinyint(1),YES,,,
366,PropertyCondition,text,YES,,,
367,PropertySubType,varchar(70),YES,,,
368,PropertyType,varchar(70),YES,,,
369,PublicRemarks,text,YES,,,
370,PublicSurveyRange,varchar(40),YES,,,
371,PublicSurveySection,varchar(40),YES,,,
372,PurchaseContractDate,date,YES,,,
373,RentIncludes,text,YES,,,
374,RoadFrontageType,text,YES,,,
375,RoadResponsibility,text,YES,,,
376,RoadSurfaceType,text,YES,,,
377,Roof,text,YES,,,
378,RoomType,text,YES,,,
379,RoomsTotal,int(11),YES,,,
380,SecurityFeatures,text,YES,,,
381,SeniorCommunityYN,tinyint(1),YES,,,
382,SerialU,varchar(45),YES,,,
383,Sewer,text,YES,,,
384,ShowingContactPhone,varchar(36),YES,,,
385,ShowingInstructions,text,YES,,,
386,ShowingRequirements,text,YES,,,
387,SignOnPropertyYN,tinyint(1),YES,,,
388,Skirt,text,YES,,,
389,SourceSystemID,varchar(45),YES,,,
390,SourceSystemKey,varchar(275),YES,,,
391,SourceSystemName,text,YES,,,
392,SpaFeatures,text,YES,,,
393,SpaYN,tinyint(1),YES,,,
394,SpecialLicenses,text,YES,,,
395,SpecialListingConditions,text,YES,,,
396,StandardStatus,varchar(45),YES,,,
397,StateOrProvince,varchar(22),YES,,,
398,StatusChangeTimestamp,datetime,YES,,,
399,Stories,int(11),YES,,,
400,StoriesTotal,int(11),YES,,,
401,StreetDirPrefix,varchar(35),YES,,,
402,StreetDirSuffix,varchar(35),YES,,,
403,StreetName,varchar(70),YES,,,
404,StreetNumber,varchar(45),YES,,,
405,StreetNumberNumeric,int(11),YES,,,
406,StreetSuffix,varchar(45),YES,,,
407,StructureType,varchar(45),YES,,,
408,SubAgencyCompensation,varchar(45),YES,,,
409,SubAgencyCompensationType,varchar(45),YES,,,
410,SubdivisionName,varchar(70),YES,,,
411,SyndicateTo,text,YES,,,
412,SyndicationRemarks,text,YES,,,
413,TaxAnnualAmount,"decimal(13,2)",YES,,,
414,TaxAssessedValue,bigint(20),YES,,,
415,TaxBlock,varchar(45),YES,,,
416,TaxBookNumber,varchar(45),YES,,,
417,TaxLegalDescription,text,YES,,,
418,TaxLot,varchar(45),YES,,,
419,TaxOtherAnnualAssessmentAmount,"decimal(13,2)",YES,,,
420,TaxYear,int(11),YES,,,
421,TenantPays,text,YES,,,
422,Topography,text,YES,,,
423,TotalActualRent,"decimal(13,2)",YES,,,
424,Township,varchar(70),YES,,,
